Time,NEG600,NEG400,NEG200,NEG100,NEG50,NEG1,LC,POS1,POS50,POS100,POS200,POS400,POS600,POS800
22-Oct-2019 18:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:23:00,0,0,0,0,0,0,0.00365799246355891,0,0,0,0,0,0,0
22-Oct-2019 18:24:00,0,-0,0,9.07038106393818e-24,2.84822317640765e-12,0.00899090897291899,0.037279549986124,0.00683260196819901,2.71299126115572e-15,3.40252452831036e-32,0,0,0,0
22-Oct-2019 18:25:00,0,0,9.10844001811131e-44,7.17054196350593e-21,1.42473463582427e-10,0.0169621184468269,0.0479883216321468,0.0127976918593049,2.1898990867214e-12,5.55672658672709e-27,0,0,0,0
22-Oct-2019 18:26:00,0,0,1.59131453608726e-40,6.64981816466013e-19,2.19619056274212e-09,0.0226121731102467,0.0539645999670029,0.0169566292315722,1.02998762296913e-10,1.15576287325247e-23,0,0,0,0
22-Oct-2019 18:27:00,0,0,5.63336500110667e-38,2.19078818321894e-17,1.70368501528628e-08,0.0269872024655342,0.0581833831965923,0.0201165974140167,1.3649501529045e-09,2.78325899531368e-21,0,0,0,0
22-Oct-2019 18:28:00,0,0,7.73336238160163e-36,3.92221835539215e-16,8.85674396045033e-08,0.0306469295173883,0.0614642426371574,0.0226408876478672,8.88424622758066e-09,1.81478476235156e-19,0,0,0,0
22-Oct-2019 18:29:00,0,0,5.18646291011033e-34,4.55303671961825e-15,3.44393271234367e-07,0.0337461680173874,0.0641937181353569,0.0247711259871721,3.70036445929145e-08,4.97373858878846e-18,1.34524652575182e-43,0,0,0
22-Oct-2019 18:30:00,0,0,2.11677762358858e-32,3.84821264209825e-14,1.07744381239172e-06,0.036512091755867,0.0664980039000511,0.0265799425542355,1.1370508445907e-07,7.38764468017317e-17,4.34528640802483e-41,0,0,0
22-Oct-2019 18:31:00,0,0,5.75503179233205e-31,2.52238822277123e-13,2.84121347249311e-06,0.0389727875590324,0.0684980228543282,0.0281439963728189,2.80531281759977e-07,6.94372887384927e-16,6.15342805939246e-39,0,0,0
22-Oct-2019 18:32:00,0,0,1.10740437657633e-29,1.33267637376921e-12,6.50090987619478e-06,0.04110923781991,0.0703031793236732,0.0295756626874208,5.91391369653138e-07,4.63512141198725e-15,4.58118906298842e-37,0,0,0
22-Oct-2019 18:33:00,0,0,1.64304526155451e-28,5.93663833370339e-12,1.32864834085922e-05,0.0431216135621071,0.0718630775809288,0.030815314501524,1.10106509509933e-06,2.3523339919289e-14,2.01032492864651e-35,0,0,0
22-Oct-2019 18:34:00,0,0,2.09528235700105e-27,2.32866781413321e-11,2.49040458584204e-05,0.0450432561337948,0.073200948536396,0.0318378880620003,1.85417695774959e-06,9.57069303366212e-14,5.77691693677073e-34,0,0,0
