Time,NEG600,NEG400,NEG200,NEG100,NEG50,NEG1,LC,POS1,POS50,POS100,POS200,POS400,POS600,POS800
22-Oct-2019 18:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:23:00,0,0,0,0,0,0,0.00279222405515611,0,0,0,0,0,0,0
22-Oct-2019 18:24:00,0,0,9.28727715572246e-29,2.89110342653956e-13,5.91299510688259e-07,0.00385182537138462,0.00760554382577538,0.00373235601000488,5.52001210962771e-07,1.86518511681617e-13,2.32277172147343e-29,0,0,0
22-Oct-2019 18:25:00,0,0,3.86551587568197e-22,8.71525018819597e-10,1.7650963854976e-05,0.00509711261838675,0.00888485088944435,0.0049589741975069,1.57627146109007e-05,5.5401871978944e-10,1.48565682031068e-22,0,0,0
22-Oct-2019 18:26:00,0,0,4.38134492130249e-18,4.53386945764578e-08,7.19340023351833e-05,0.00587804010137916,0.00967547670006752,0.00572860194370151,6.26942637609318e-05,2.74863740656883e-08,1.76049449475605e-18,0,0,0
22-Oct-2019 18:27:00,0,1.42512053821834e-42,2.30526962265425e-15,4.37960181898234e-07,0.000156636509927921,0.00643956009298563,0.0102387061342597,0.00627886177971959,0.000133934765472077,2.56686092825475e-07,8.97680435302424e-16,2.53074502657062e-42,0,0
22-Oct-2019 18:28:00,0,7.42379676222247e-38,1.88392731319612e-13,1.88879232609906e-06,0.000259073305642232,0.0068746698088944,0.0106709469109774,0.00670009478926659,0.000217451262869872,1.07728760667669e-06,6.9946971120987e-14,1.20910993152716e-37,0,0
22-Oct-2019 18:29:00,0,4.94740547088398e-34,4.69123351276579e-12,5.24127881362801e-06,0.000369948160368949,0.0072251264937222,0.0110182100906968,0.00703944684937596,0.000305180583382025,2.92240247290465e-06,1.66133057831475e-12,6.82760363407194e-34,0,0
22-Oct-2019 18:30:00,0,6.86894528549894e-31,5.34432602339319e-11,1.11638701127958e-05,0.000483846437418833,0.00751907145604491,0.0113063650205731,0.0073193134739995,0.000392526271753013,6.09677272223053e-06,1.81087853046158e-11,7.74921705129865e-31,0,0
22-Oct-2019 18:31:00,0,2.8099016962056e-28,3.56424750824758e-10,2.00286085600965e-05,0.000597606762312353,0.0077691082842648,0.0115505829453468,0.00755699770525098,0.000476952671306208,1.07215264506522e-05,1.15881658435679e-10,2.56816667330589e-28,0,0
22-Oct-2019 18:32:00,1.82168800362226e-44,4.37907689400026e-26,1.62534996572816e-09,3.19120554195251e-05,0.000708919251337647,0.00798447895795107,0.0117615815252066,0.00776409963145852,0.000557896273676306,1.67948110174621e-05,5.09792874581194e-10,3.24795050427044e-26,0,0
