Time,NEG600,NEG400,NEG200,NEG100,NEG50,NEG1,LC,POS1,POS50,POS100,POS200,POS400,POS600,POS800
22-Oct-2019 18:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Oct-2019 18:23:00,0,0,0,0,0,0,0.00318262842483819,0,0,0,0,0,0,0
22-Oct-2019 18:24:00,0,0,2.90535806867427e-37,1.99860070882612e-17,9.47896250380609e-09,0.00552108278498054,0.0127859860658646,0.00520223705098033,7.06337166533899e-09,3.85818213518413e-18,5.3298246960748e-40,0,0,0
22-Oct-2019 18:25:00,0,0,1.4684811455896e-30,2.12403025398079e-13,1.09251357116591e-06,0.00772851705551147,0.0150815052911639,0.00728738214820623,8.20917023247603e-07,8.08822139038851e-14,4.59558664220569e-32,0,0,0
22-Oct-2019 18:26:00,0,0,5.45960155444565e-26,5.04510946908177e-11,1.04098517113016e-05,0.00919226929545403,0.0165656786412001,0.00868176575750113,7.43650207368773e-06,2.07031180393669e-11,4.70461274952855e-27,0,0,0
22-Oct-2019 18:27:00,0,0,1.30612899146019e-22,1.68879454864879e-09,3.80705932911951e-05,0.0102914040908217,0.0176649913191795,0.00972675066441298,2.62128214671975e-05,6.66187327524881e-10,1.68166054559213e-23,0,0,0
22-Oct-2019 18:28:00,0,0,5.10150556536295e-20,1.87397475315265e-08,8.86957132024691e-05,0.0111716408282518,0.0185316260904074,0.0105510419234633,5.92078104091343e-05,6.97701540985918e-09,7.48256353784888e-21,0,0,0
22-Oct-2019 18:29:00,0,0,5.49661599759548e-18,1.06618188056018e-07,0.000161343283252791,0.0118955411016941,0.0192428734153509,0.0112305078655481,0.000104846018075477,3.75998787660592e-08,8.15301988764036e-19,0,0,0
22-Oct-2019 18:30:00,0,0,2.32856821678055e-16,3.96169667737922e-07,0.000252764235483482,0.0125151071697474,0.0198404770344496,0.0117982355877757,0.000160120689542964,1.3296823908604e-07,3.3228917232329e-17,0,0,0
22-Oct-2019 18:31:00,0,9.24856986454379e-44,4.90426570746083e-15,1.10416510779032e-06,0.000359125871909782,0.0130484346300364,0.0203528050333261,0.0122850844636559,0.000221851572860032,3.53901100424991e-07,6.57844803292823e-16,1.26116861789234e-44,0,0
22-Oct-2019 18:32:00,0,6.68223185697932e-41,6.06350093832614e-14,2.50932203016418e-06,0.000476305314805359,0.0135098118335009,0.0207996387034655,0.0127140041440725,0.000287857605144382,7.73406839016388e-07,7.61299999278188e-15,1.02336826849641e-41,0,0
22-Oct-2019 18:33:00,0,2.24867583699867e-38,4.98248198341905e-13,4.92262279294664e-06,0.000601545034442097,0.013926618732512,0.0211891382932663,0.0130837429314852,0.000355863536242396,1.46227796449239e-06,5.8341962446036e-14,3.40320886474236e-39,0,0
22-Oct-2019 18:34:00,0,4.06075542291595e-36,3.00072445190425e-12,8.68364622874651e-06,0.000733847205992788,0.0143048511818051,0.0215349197387695,0.0134058482944965,0.000423959165345877,2.47963112087746e-06,3.25605861717371e-13,5.58791730458455e-37,0,0
22-Oct-2019 18:35:00,0,4.28395370421499e-34,1.4088783958921e-11,1.41055897984188e-05,0.000871550757437944,0.014650022611022,0.021844107657671,0.0136897237971425,0.000490806472953409,3.86478859581985e-06,1.41019823856475e-12,5.03023764458738e-35,0,0
22-Oct-2019 18:36:00,0,2.81631871986673e-32,5.41010361509997e-11,2.14973515539896e-05,0.00101439596619457,0.0149720218032598,0.0221181195229292,0.0139328250661492,0.000554529542569071,5.62293962502736e-06,4.95782755127738e-12,2.70202400823674e-33,0,0
22-Oct-2019 18:37:00,0,1.23915009706621e-30,1.76917563932122e-10,3.11817930196412e-05,0.00116262258961797,0.015272680670023,0.02236183360219,0.0141406450420618,0.000613978249020875,7.73671672504861e-06,1.47026384123006e-11,9.34367663176248e-32,0,0
